Nepali,English
नमस्ते,Hello
प्रेम,Love
सुप्रभात,Good morning
धन्यवाद,Thank you
कुसुम,Flower
पानी,Water
मित्र,Friend
गर्मी,Hot
सिक्का,Coin
सुन्दर,Beautiful
माया,Affection
आशा,Hope
समझ,Understanding
खुसी,Happiness
दुख,Sorrow
भन्नु,To say
हेर्नु,To see
गर्नु,To do
खानु,To eat
पिउनु,To drink
आउनु,To come
जानु,To go
बढाइछ,Good luck
खाली,Empty
पूरा,Full
रंग,Color
सजिलो,Easy
कठिन,Difficult
साथी,Companion
पर्व,Celebration
गीत,Song
खेल,Game
किताब,Book
समय,Time
दिन,Day
रात,Night
सूर्य,Sun
चन्द्र,Moon
तारा,Star
पहाड़,Mountain
नदी,River
समुद्र,Ocean
वन,Forest
फूल,Flower
पत्ता,Leaf
बादल,Cloud
हवा,Wind
बर्फ,Snow
बराफ, Ice
बाल, Hair
आँखा,Eye
नाक,Nose
मुख,Mouth
हात,Hand
पैर,Foot
गाड़ी,Car
विमान, Airplane
ट्रक,Truck
बस,Bus
पोखरी,Pond
पुस्तक,Book
कच्चा,Raw
पक्का,Cooked
फल,Fruit
सब्जी,Vegetable
दुध,Milk
दही,Yogurt
चाय,Tea
कफ, Coffee
शहर,City
गाउँ,Village
देश,Country
सिकारी,Hunter
सिकार,Prey
बाचा,Child
वयस्क,Adult
बुढा,Old
नया,New
पुरानो,Old
महिला,Woman
पुरुष,Man
बालक,Boy
कन्या,Girl
आम,Aam (Mango)
केरा,Banana
फलाम,Citrus (Orange)
अदुवा,Ginger
माछा,Fish
खुद्रा,Green
रातो,Red
पहेँलो,Yellow
